49;POLARIS 40 WP;Cerezo;Burrito;Naupactus xanthographus;100 g/100L;Cubrimientos sugerido 1500 L/ha;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
50;POLARIS 40 WP;Cerezo;Chape del cerezo;Caliroa cerasi;100 g/100L;Cubrimientos sugerido 1500 L/ha;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
51;POLARIS 40 WP;Duraznero;Escama de San José;Diaspidiotus perniciosus;100 g/100L;"En duraznero y nectarino aplicar 70 gr/Hl. 
Para el control de Escama de San José, aplicar durante el período de migración de ninfas. 
Cubrimientos sugerido 1500 L/ha.";https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
52;POLARIS 40 WP;Duraznero;Polilla oriental de la fruta;Cydia molesta;100 g/100L;"En duraznero y nectarino aplicar 70 gr/Hl.
Cubrimientos sugerido 1500 L/ha ";https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
53;POLARIS 40 WP;Duraznero;Pulgón verde del duraznero;Myzus persicae ;100 g/100L;"En duraznero y nectarino aplicar 70 gr/Hl.
Cubrimientos sugerido 1500 L/ha ";https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
54;POLARIS 40 WP;Duraznero;Pulgón negro del duraznero;Brachycaudus persicae;100 g/100L;"En duraznero y nectarino aplicar 70 gr/Hl.
Cubrimientos sugerido 1500 L/ha ";https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
55;POLARIS 40 WP;Duraznero;Trips californiano;Frankliniella occidentalis;100 g/100L;"En duraznero y nectarino aplicar 70 gr/Hl.
Cubrimientos sugerido 1500 L/ha ";https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
56;POLARIS 40 WP;Duraznero;Burrito;Naupactus xanthographus;100 g/100L;"En duraznero y nectarino aplicar 70 gr/Hl.
Cubrimientos sugerido 1500 L/ha ";https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
57;POLARIS 40 WP;Duraznero;Chape del cerezo;Caliroa cerasi;100 g/100L;"En duraznero y nectarino aplicar 70 gr/Hl.
Cubrimientos sugerido 1500 L/ha ";https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
58;POLARIS 40 WP;Nectarino;Escama de San José;Diaspidiotus perniciosus;100 g/100L;Cubrimientos sugerido 1500 L/ha;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
